code,title,subjects,credits,description
DATA206,Data Management,computer science|data science,4,"This course focuses on database system concepts and architectures, various data models, Database Design using ER models, UML, Relational Algebra etc. Database as well as web-based programming using SQL, PHP etc., will be covered. It also introduces theoretical concepts on database design and normalization, data storage with the corresponding file structures based on indexing using B-Trees, B+-Trees etc. Further, transaction processing and concurrency control principles will be introduced. Some applications on Information Retrieval and Data Warehousing will be covered."
DATA230,Business Applications of Artificial Intelligence,business studies|data science,4,"Artificial intelligence (AI) is all around us. It‘s how Google answers our searches, Amazon recommends products, ChatGPT helps answer questions, and Spotify plays another song. Artificial Intelligence is changing the way decisions are being made in the world today. This course is intended to enable students to understand a critical aspect of AI, i.e., industry applications, scenarios, and use cases. The course covers this very critical aspect of AI, i.e., use cases of AI in a variety of industries such as Sales and Marketing, Retail Manufacturing, Healthcare, Education, to name a few."
DATA231,Database Management Systems,computer science|data science,4,
DATA232,Introduction to C Programming,data science,2,"This course offers a comprehensive introduction to C programming, focusing on developing problem-solving skills and a strong understanding of foundational programming concepts. Students will learn to learn to work on different data structures and write structured, efficient, and modular programs using control structures, functions."
DATA233,Introduction to Calculus,data science,4,"This course provides an overview of the following topics: Calculus (Limits, Continuity, Basic
 Overview of Differential and Integral Calculus with Applications that involve modelling, and Differential
 Equations). Multivariable Calculus: Derivatives, partial derivatives, differentiation with respect to a vector;
 gradient, Hessian, Jacobian. Taylor&#39;s theorem in 1 and n dimensions, with Lagrange remainder.
 Optimization in 1 and n dimensions, classification of stationary points. Constrained optimization and the
 method of Lagrange multipliers."
DATA234,Financial Analytics,data science|economics,2,"The Financial Analytics course is designed to provide students with the analytical skills and techniques necessary to navigate the complex world of financial markets, investment strategies, and corporate finance. The course focuses on integrating quantitative methods and data-driven insights into financial decision-making processes. Through a combination of financial theory, modelling techniques, and hands-on analytical applications, students will develop a strong foundation in financial modelling, portfolio optimization, risk analysis, derivatives trading, and technical analysis. The course will enable students to use descriptive analytics to summarize financial data, prescriptive analytics to optimize investment strategies, and predictive analytics to forecast market trends and price movements."
DATA235,"Digitalization and Society: Understanding Risks, Promoting Justice",computer science|data science|sociology,4,"In an era dominated by digital technologies, which have seemingly integrated themselves in every  realm of life, and have been taken up by industry, business, policymakers, civil society alike,  understanding the impacts of digitalization on society is paramount. This course delves into the  complexities of digitalization, exploring both its risks and opportunities while emphasizing the  pursuit of societal justice through informed design and ethical considerations. It encourages  students to go beyond the usual narratives of the benefits of digitalization and ask critical  questions which can help shape it in ways that recenter the emancipation of diverse types of end users. The course draws primarily from academic work in the fields of Science and Technology  Studies (STS), Critical Social Science, Feminist Posthumanities and Media Studies. 
This course offers a unique opportunity to explore cutting-edge issues at the intersection of  technology, society, and ethics using ‘real world’ case studies from India, Europe, the US and  beyond. By gaining insights into the complex societal impacts of digitalization, students will be  equipped to navigate challenges on the topic in both academic and industry settings. Whether  pursuing further research or embarking on a career in technology, this course aims to provide a  solid foundation for understanding and promoting justice in the digital age."
DATA236,"Generative AI, Agentic AI, and the Importance of Responsible AI",data science,4,"This course introduces students to the transformative world of Artificial Intelligence, with a focus on
 Generative AI, Agentic AI, and the critical need for Responsible AI. Through real-world case studies,
 accessible tools, and thoughtful discussions, learners will explore how AI is reshaping creativity,
 decision-making, and ethics in modern society."
DATA237,Applied dynamical systems,data science,4,"This is an introductory course on applied dynamical systems for the data science major. The
 main aim of the discipline of dynamical systems is to model the phenomenon of dynamics or
 change that is ubiquitous in the real world. The earliest examples of dynamical systems
 addressed by humankind were the motion of planets and other celestial bodies, changes in
 seasons, and observations of the life cycles of plants and animals.
 Though it is impossible to track the change in each and every aspect of a given system with
 many dynamic parts, overall patterns persist that capture gross features of the system.
 Examples include periodic recurrences of phenomena, irreversibility of certain processes,
 and so on. The theoretical model of a dynamical system aims to capture such overall global
 features of the system in mathematically precise terms.
 An important idea that pervades the study of dynamical systems is chaos: the sensitivity of a
 dynamical system to initial conditions. The phenomenon of chaos is indeed the norm rather
 than the exception in the real world, and it appears in a variety of forms with different
 mechanisms as well. In this course, we will give an introduction to chaos and its importance
 in understanding the time dependence of real-world phenomena.
 A good understanding of the basic concepts in Calculus and Linear algebra is encouraged,
 but the course is designed to be self-contained and will include a review of the important and
 
 relevant concepts. The emphasis will be on visualizing the important ideas rather than on
 rigorous proofs. The course also aims to give a flavour of the interdisciplinary nature of the
 discipline via many case studies in biology, electric circuits, mechanics, finance, and so on."
DATA238,Numerical Methods for Data Science,data science|economics,4,"Numerical methods are practical methods to find appropriate solutions to
 mathematical problems that cannot be solved analytically. This includes both problems
 described by algebraic and differential equations. In addition to solving the equations,
 inevitable data analysis techniques like interpolation and extrapolation are also carried out
 numerically. Understanding these methods are essential for a Data Science student. In this
 course the students will be taught about numerical methods involving non-linear and linear
 equations for finding roots, interpolation, extrapolation, numerical differentiation, integration
 and solution of ordinary differential equation and partial differential equation."
DATA239,Geometry for Computer Vision,computer science|data science,4,"How do computers &quot;see&quot; the world? The mathematical foundation of computer vision lies in
 understanding how shapes and images transform—and this course will teach you that
 language from the ground up.
 Starting with the familiar geometry of high school (Euclidean), we&#39;ll discover how different
 types of transformations create entirely new geometries. You&#39;ll learn how allowing shapes to
 be scaled gives us Similarity Geometry, how parallel lines behave in Affine Geometry, and
 ultimately how Projective Geometry explains why railroad tracks appear to meet at the
 horizon—the same mathematics that lets computers reconstruct 3D scenes from 2D
 photographs.
 This isn&#39;t your typical geometry course. Following Felix Klein&#39;s revolutionary approach, we&#39;ll
 see geometry not as a collection of theorems about triangles and circles, but as the study of
 what stays the same when shapes transform. This unified view connects ancient Greek
 mathematics to cutting-edge computer vision applications like facial recognition, autonomous
 vehicles, and augmented reality.
 No advanced mathematics required—just high school algebra, basic calculus, and curiosity
 about how mathematical ideas connect. Through concrete examples and visual reasoning,
 you&#39;ll build intuition for concepts that usually appear only in graduate courses.
 
 This course sets the foundation for Computer Vision II, where you&#39;ll apply these geometric
 tools to real-world vision problems. Whether you&#39;re interested in AI, robotics, computer
 graphics, or just want to see mathematics from a fresh perspective,"
DATA241,Introduction to Computer Vision (DATA),computer science|data science,4,"How does your phone straighten a photograph of a document? How do panorama apps stitch
 multiple images seamlessly? How do self-driving cars understand depth from stereo cameras? This
 course bridges the mathematical foundations from Geometry for Computer Vision I to real-world
 computer vision applications.
 Building on your solid understanding of projective geometry from Course I, you&#39;ll learn how cameras
 capture 3D scenes as 2D images and how to reverse this process computationally. Through hands-on
 programming projects, you&#39;ll implement the algorithms behind everyday vision applications—from
 document scanning to 3D reconstruction from photos.
 The course balances mathematical understanding with practical implementation. You&#39;ll derive key
 algorithms to understand the mathematics, then implement them in Python to see how they work
 on real data. A substantial optimization primer ensures you understand the mathematical
 foundations underlying computer vision algorithms—what is a cost function, how gradient descent
 works, why RANSAC handles outliers.
 
 No advanced mathematics required—just the geometry from DATA239/COMP239, linear algebra,
 basic calculus, and willingness to learn Python. Through weekly programming assignments, you&#39;ll
 build proficiency so that by course end, you&#39;ll have implemented core algorithms from scratch and
 built a substantial team project suitable for your portfolio.
 This course sets the foundation for understanding both classical geometric computer vision and
 modern learning-based approaches. Whether you&#39;re interested in AI, robotics, AR/VR, or just want
 to understand the technology you use daily, this course offers a unique blend of rigorous
 mathematics and hands-on application."
DATA242,Natural Language Processing (DATA),data science,4,"This course provides a comprehensive introduction to Natural Language Processing
 (NLP), covering foundational concepts, classical machine learning techniques, and
 modern deep learning architectures. Students will learn practical methods for text
 preprocessing, feature extraction, and building NLP models for applications like text
 classification, translation, and summarization. The course also explores real-world
 applications of NLP in domains such as finance, cybersecurity, and healthcare,
 equipping learners with skills to implement and evaluate advanced NLP systems"
DATA243,Multivariate Analysis,data science,4,"The course will present the concepts and methods of muItivariate analysis to the readers who have read at least one statistics course. The applications of multivariate methods is emphasized. The concepts of matrix algebra are very important. Matrices simplify the presentation of muItivariate techniques. Normal distribution and Regression models are discussed in the multivariate setup. Further, we introduce key concepts like principal component analysis, factor analysis, discriminant analysis and cluster analysis etc., which are quite relevant for data science."
DATA244,Fundamentals of Applied Cryptography,data science,4,"Cryptography is the science of designing encryption and decryption algorithms for
 providing secure communication between parties over an insecure channel. In the
 present age, cryptography has gained importance and is widely used in many
 disciplines.
 This is a first course in cryptography, with a focus on the algorithmic foundations of
 real-world cryptosystems, aiming to strike a balance between theory and application.
 In this class, we will cover the basic mathematics necessary to better understand
 various cryptographic protocols, algorithms, and attacks. This will provide a solid
 understanding of the practical issues involved in applying cryptographic techniques
 to design secure systems."
DATA246,Application of Matrices to Arts and Sciences,data science,4,"Matrix analysis has become a very important subject in data science which connects
data to various fields. In today’s world, computers are inexpensive and fast, and it is
easy to procure large amounts of data, and many outcomes are dependent on the
interplay between several disciplines and data. This course, therefore, takes an
interdisciplinary approach and attempts to connect a wide range of subjects, from
economics and finance to biology, using the language of matrices. It will provide
students a sound understanding of many practical issues faced in data science."
DATA301,Responsible Artificial Intelligence (Data),data science,4,"Recent advances in computing and information technologies, including hardware, software, databases, networks and communications have enabled the commercialization of many applications of Artificial Intelligence. Specifically, in the case of Supervised Learning, Deep Neural Networks and related algorithms have been able to achieve or even surpass human-like accuracy in applications like face recognition, voice recognition, automated driving, language translation, etc. This has given rise to multiple deployments of AI-based applications not only in the private sector but also in the Government. These deployments in areas such as recidivism prediction, algorithmic online ad targeting, drug addiction risk prediction, criminal intentionality detection in early stage shoplifting, etc. promise the effectiveness and efficiency of evidence-based decision-making. This early success has spurred rapid and frantic development of solutions using AI/ML and associated technologies without adequate safeguards and regulations. However, of late, multiple cases of bias and unfairness have been reported in the decisions made by AI/ML based algorithms, thus, raising ethical questions. In addition, AI/ML-based decisions cannot be explained easily due to their “black-box” nature. Impenetrability of AI/ML algorithmic decisions has reduced “trust” in the very algorithms that promised so much. This has spurred a call for Explainable AI (XAI) – AI-based decision-making that incorporates the notions of fairness, accountability and transparency."
DATA302,Introduction to Statistical Learning,data science,4,"This course is a hands-on introduction to tools and techniques in machine learning to model complex phenomena and solve problems in a variety of domains including health care, medical diagnostics, image recognition, stock prediction, and sports data analytics. This course covers the following topics: (i) Simple Linear Regression, Multiple Linear Regression, Training and Validation, standard error measures and analysis of model predictions, model selection, and regularization; (ii) Classification: Logistic Regression, Linear Discriminant Analysis, and support vector machines; and (iv) Overview of Unsupervised Learning: Principal Component Analysis and Clustering techniques. This course will also introduce Python tools and libraries including scikit-learn, imblearn etc."
DATA303,Deep Learning (DATA),data science,4,"The course essentially is a hands-on introduction to various types of neural networks used in  machine learning and decision trees. Topics include Decision Trees, Bagging Random Forests and Boosting,  Introduction to Basic Neural Networks, Activation Functions, Deep Neural Networks (Convolutional Neural  Networks (CNN), Recurrent Neural Networks (LSTM), Autoencoders, Generative Adversarial Networks  (GAN), and transformer architectures with applications to problems in Image Processing and Computer  Vision. This course will also introduce Python tools and libraries including scikit-learn, Keras, TensorFlow,  and PyTorch."
DATA441,Applied Network Science,data science,4,"Network science plays a crucial role in modern data science for modeling and analyzing
 relationships among complex systems. Graphs provide a powerful framework for
 representing and studying interactions across domains such as social networks, biological
 systems, brain connectivity, and technological networks. This course offers an applied
 introduction to graph-theoretic concepts and network science using Python.
 Students will learn how to represent data as networks and analyze their structural properties,
 including connectivity, paths, centrality measures, and clustering. The course further
 introduces network models such as random, small-world, and scale-free networks to
 understand real-world structures, along with community detection techniques to uncover
 hidden patterns within networks.
 Through hands-on exercises and case studies, students will construct and analyze networks,
 implement key algorithms, and interpret results in real-world contexts. The knowledge gained
 will support applications in areas such as social network analysis, biological and brain
 networks, graph-based machine learning, and data-driven decision-making systems."
ECON201,Principles of Economics,economics,4,"The Principles of Economics course introduces students to foundational economic principles, introducing tools and models that enable a rigorous examination of everyday economic phenomena. It presents fundamental theories in micro- as well as macroeconomics, covering markets and prices, trade-offs, efficiencies, externalities, as well as the behavior of individuals and firms. The course initiates an examination of broader systemic phenomena such as trade, growth, poverty, employment, and inequality. At the end of the course, students should be familiar with foundational economic terminology, develop a basic understanding of markets and their potential failures, begin to appreciate the linkages between economic phenomena, and most importantly, recognize the importance of a rigorous approach in exploring economic questions."
ECON202,Microeconomics I,economics,4,"This course is the first of a two-part sequence aimed at providing a thorough understanding of the concepts and methods of microeconomics. 
  
  In this course, we will study consumer behavior in detail – looking at consumer preferences, budget constraints, and the utility maximization problem in the framework of Marshallian analysis. We will then learn how consumers allocate consumption, get an insight into income and substitution effects, and derive consumer demand functions. We will take a quick look at game theory, which investigates strategic decision-making among a small group of players. We will also briefly touch upon the theory of producer behavior, beginning with a stylized model of the firm, and understanding how economists model production, and how firms minimize their costs. 
  
  Part two of the Microeconomics sequence will cover producer behavior in greater detail, and examine how producers, consumers and the government interact in different settings."
ECON203,Macroeconomics I,economics,4,"This course will aim to introduce the students to the basic concepts of Macroeconomics. Transitioning from the individual and firm behaviour of microeconomics, it will focus on the aggregate economy incomes and economic growth.  It will build on the introductory concepts like consumption, savings, investment, government spending, GDP, money, inflation, wages, unemployment, current and capital accounts, fiscal deficits, role of expectations etc. Students will learn about the engine room of the macroeconomic world- the aggregate demand function and the IS and LM.
Topics: Economic methods, Defining and measuring macroeconomic aggregates-national output and income-CPI, WPI, Deflator, Introduction to Aggregate Incomes-Growth, Productivity, & Technology, Unemployment, Inflation, Core of Macroeconomics-Aggregate Expenditure and Equilibrium Output, Government- Fiscal Policy, Credit Markets and the Monetary System. Aggregate Demand and Aggregate Supply. Introduction to ISLM Framework."
ECON204,Econometrics I,economics,4,"This course introduces students to mathematical and statistical techniques for conducting empirical analysis in economics. It lays the foundations for the study of techniques to estimate and test hypotheses connected to quantifiable economic relationships. Students will learn to estimate and test basic regression models. The course will also prepare students to interpret estimated regression models and enable them to explore model biases that arise because of data limitations, misspecification, heteroscedasticity, and other factors. This course is a mix of conceptual understanding and practical application. Concepts will be explored through recourse to the textbook, and class notes and discussion. These concepts will then be applied to data sets while using R, the statistical programming language. 
  
  While a deep treatment of the issues surrounding causal analysis is beyond the scope of this course, we will take a close look at the conditions necessary for causal inference while we cover the course material. Through such scrutiny, we will gain insight into when statistical relationships may be considered ‘causal’ and when merely ‘correlational’.
  
  Topics: Data types, simple regression, multiple regression, estimation, inference, asymptotics, qualitative variables, heteroscedasticity, collinearity, diagnostics, hypothesis tests, miscellaneous specification and data issues."
ECON206,History of Economic Thought,economics,4,"The economy, which we have come to think of as a distinct sphere of human activity, is a peculiar conceptual construct with an even more peculiar history. This course introduces economics majors to influential intellectual traditions that continue to shape how we think about the economy and the laws that govern it. Along the way, the class will revisit and historicize commonplace categories in the field of economics: commodity, money, capital, prices, wages and rents, supply and demand, business cycles, and so on. 
 
 The course begins with the 18th century, when the field of political economy was still in its nascent stage. The first three weeks of the course focus on the classical tradition of political economy, centred around the work of Adam Smith and David Ricardo. This is followed by two weeks of Marxian political economy, and two weeks on neo-classical economic thought. After an excursus into institutional, socialist, utopian, and historical traditions in economics, the course concludes with a deep engagement with the Keynesian revolution and its lasting influence on the field. Students will also read and engage with work that looks at how intellectual currents in political economy and economics shaped modern institutions, in European nations, in India, and in global governance."
ECON207,The Indian Economy,economics,4,"This is a course on the economic history of Modern India, conventionally dated as the period from 1757 to the present. It aims to introduce to the students economic development and policies pursued in India. It attempts to engage students in locating the Indian economy within the world economy and understanding how the relationship has evolved over time. As contesting perspectives exist they will be exposed to them. The course commences with a study of colonial economic policies and the impact they had on India’s economy. In this section students read the work of some major historians. The course then moves on a study of the evolution of India’s economy since 1947, taking the student through the Nehru era, the Indira Gandhi years, the reforms of 1991 and economic performance under the Modi government. In this section the students will read the work of leading Indian economists. The topics covered will include the Colonialisation of India’s economy, the De-industrialisation debate, Land tenure legislation and its enduring consequences, Famines and the Raj, Colonial institutions, the Origins of modern industry, the Nehru era: Planning and its critics, the Green Revolution, initial Liberalisation moves, ‘1991’, the Modi years: initiatives (‘Make in India’, demonetisation) and shocks (Covid 19)."
ECON209,Macroeconomics - II,economics,4,"This course is a sequel to Macroeconomics I. It shifts focus to the long run and introduces students to the economics of growth, the role of capital accumulation and technological progress as well as the policy related aspects of economic growth. This course also introduces students to open economy macroeconomics including topics such as the IS-LM model in an open economy, balance of payments, exchange rates, typologies of exchange rate regimes and the effectiveness of the monetary and fiscal policies under different exchange rate regimes."
ECON210,Microeconomics - II,economics,4,"This course is a sequel to Microeconomics I, and will focus on the study of producer behavior. We begin with a stylized model of the firm, and then understand how economists model production, and how firms minimize their costs and maximize their profits. With a basic understanding of consumer and producer behavior, we will then look at how the two interact in a market. The concept of the market equilibrium will be introduced, and we will learn how the characteristics of this equilibrium vary across different market structures such as perfectly competitive markets, monopoly and oligopoly. We will then learn about conditions where the market fails to achieve an equilibrium, focusing on externalities, public goods, and markets with asymmetric information."
ECON211,Mathematical Methods for Economics - I,economics,4,"Economists primarily use mathematical methods to make and study economic arguments. Mathematics brings in the rigour and precision that are required to ensure that the economists’ statements are true and logically sound. This course is intended to familiarize students with mathematical concepts and methods typically used by economists, and introduce ideas from topics in differential and integral calculus, optimization, linear algebra, and financial economics. A course in these topics will lay the foundation for more rigorous courses in (various branches of) economic theory, statistics and econometrics.
 
 The goal of the course is not to delve into the theorem-proof route, but rather to help the students develop their mathematical reasoning and intuition, and become comfortable talking about economics using mathematical shorthand."
ECON212,Statistics for Economics,data science|economics,4,"This course has a dual focus: First, to introduce you to probability theory and the basic statistical concepts that are used to explore and understand economic phenomena. Second, to show you how this statistical knowledge can be applied to real world data using widely available spreadsheet tools like Microsoft Excel. Therefore, this course has been designed very much from a practitioner’s point of view. You will find that the material that you learn in this course will have direct application in your jobs and further studies. Sound grasp of material from this course will also be essential for your further coursework in econometrics and advanced microeconomics.
 
 The topics covered in this course fall into three broad categories: descriptive statistics, probability & distributions, and hypothesis testing. Descriptive statistics deals with the visualization and summarization of statistical data. You will learn simple tools for visualizing data on one and two variables, as well as statistical concepts for summarizing the central location and dispersion of your data. In the probability & distributions section, you will learn about probability and surrounding concepts like sample spaces, random variables, and combinatorics. You will also learn about some common discrete and continuous probability distributions. Hypothesis testing deals with questions of statistical inference: when are our conditions supported by the data and when are they not? You will learn about samples, and populations, point and interval estimates, and the apparatus of hypothesis testing about one or two variables."
ECON223,Introduction to Statistical Programming,data science|economics,4,"This course is aimed at introducing economics students to statistical programming, using R and Stata. In this course, students will learn the basics of programming – such as downloading and installing the programme(s), managing libraries and packages, and good coding practices. Students will learn to perform simple computations, including basic mathematical operations, creating vectors and variables, and working with frequently used tools such as conditionals and loops. 
 
 Through a combination of lectures, hands-on exercises, and projects, students will be exposed to different data structures, and learn the tools to manipulate and analyse data – importing data from different sources/in various formats, and transforming them into a format suitable for analysis, cleaning data and dealing with missing information, and data visualization/description – creating and formatting charts and tables. Based on students’ comfort level with these foundational skills, the course may also touch upon additional topics related to simple statistical tests and analyses."
ECON245,Introduction to Finance: Concepts and Methods,economics,4,"The Great Recession of 2008 dealt an important lesson to economists – that the real economy and the financial world are closely interconnected and lacking an understanding the world of finance is no longer tenable for economists. An understanding of finance and how the world of finance operates is an essential ingredient in the toolkit for a practicing economist. With this motivation, this First Course in Finance is designed to provide an introduction to the world of finance. As a first course, it gives an introductory glimpse into the various parts of the field of finance. For anyone planning to gain deeper understanding in the field of finance by taking additional more intense courses in finance, this course serves as a preparatory, foundational step. By providing a comprehensive overview of the subject it would also serve students who are seeking only a basic but broad understanding of finance.
This course is focused on business finance, to the exclusion of personal finance and public finance. Starting with a definition of finance as the organizing principle, the course content is structured around agents that demand finance for business, namely, business organisations. The first part of the course develops an understanding of the business organization – its goals, its forms, and the accounting of its financial transactions. The financial accounts are key to keep track of the financial health of the business. A healthy business generates finance internally and is also able to access external sources relatively easily for its daily business needs and also for investments. The second part of the course covers concepts and methods relating to business investments, like valuing cash flows from investments, and profitability and risk in investments. Business finance is accessed in financial markets through financial institutions that intermediate between savers and the borrowing business organisations. The third part of the course covers these aspects – sources of finance, financial markets and financial institutions. Finally, we look at how prices are determined in the financial markets – bond prices, stock prices, exchange rates – and how this links to the macroeconomy. We also take a brief overview of quantitative finance, which provides a toolkit for financial analysts and managers."
ECON309,Macroeconomics III,economics,4,"This is a one-term course in certain core areas of macroeconomics that could not be covered in some detail in Macroeconomics I and Macroeconomics II. In seeking to first establish a strong foundation in economic analysis, and in macroeconomic analysis in particular, the preceding two courses in macroeconomics stayed away from controversies in macroeconomic theory between different schools of thought. Further, some important parts of applied macroeconomic theory, like financial markets and financial crises, could not be dealt in detail in the earlier courses. This course will seek to give a more detailed treatment to these foregoing topics. A serious student of economics should not shy away from controversies and unsettled issues in macroeconomics, and should have the confidence to apply his knowledge to popular and important topics like financial markets and financial crises. The focus in this course will be on certain specific topics that any serious student of economics must have knowledge of. Six topics have been chosen for inclusion in this course at an intermediate level: different approaches to macroeconomic theory, theories of business cycles, macroeconomic policy, financial markets, macroeconomic crises and economic growth theory. This course will be pitched at a level that acts as a bridge, for the undergraduate student to continue onto graduate level studies, and also for those who wish to pursue other avenues like business management and employment as economic analysts. Students in this course will be required to do group projects that shall be designed to give a hands-on experience in using software tools for macroeconomic analysis with these objectives in view."
ECON310,Microeconomics - III,economics,4,"This course is a sequel to Microeconomics II specially designed for the students enrolled in the FYUP. It will focus on the study of market failure under second best settings. It will also dwell deeper into game theory, public goods, factor markets, and time costs. The concept of the market equilibrium will be re-introduced, and we will learn how the characteristics of the market vary in the real word leading to conditions such that market fails to achieve an equilibrium, focusing on externalities, public goods, markets with asymmetric information and imperfect competition. The course would develop a rigorous set of tools to analyze such conditions while unraveling how choices can interact and persist leading to strategic outcomes and payoffs."
ECON311,Development Economics,economics,4,"This course introduces students to key topics in the field of Development economics and policy, particularly those centered around the colossal challenges facing the global poor.
The first part of the course will introduce students to the fundamental question of why we still see extreme levels of poverty around the world, why some countries are rich while the others are poor. We will review selected classical and contemporary models of development to explore structural and institutional factors that impact the process of development. The second part of the course will dive deep into the concept of poverty at a micro level, i.e., at the level of individuals and households. The course will introduce and encourage students to think about how the poor make decisions, what constraints they face and what difficult trade-offs they make. We will learn about the actions and policies taken by various entities (Governments, international organizations, and NGOs) to improve the lives of the poor. Using modern empirical techniques, we will understand which of these policies have been successful, and which have not. 
At the end of the course, the students will develop a deeper appreciation for the dynamics of the development process and the challenges involved in ending poverty across the world, and have a better understanding of how poverty affects various aspects of human development."
ECON312,Environmental Economics,economics,4,
ECON313,Econometrics - II,economics,4,"This course introduces students to advanced econometric techniques for conducting empirical analysis in economics. It introduces students to several families of distributions and explores commonly used empirical approaches to identify causality. The course also features advanced topics such as instrumental variable estimation, panel data models, and limited dependent variables. At the end of this course, students should be able to have a deeper appreciation for the link between theory and empirical work, and also be able to engage meaningfully with current empirical literature in economics."
ECON321,Labor Economics,economics,4,"Labor economics, in a comprehensive sense, involves examining how individuals, firms, institutions, and the public sector interact to influence employment and wage outcomes. Throughout this course, we will delve into both theoretical and empirical aspects of labor economics, placing a significant emphasis on practical applications. We will focus on discussing research designs aimed at empirically measuring theoretical predictions and assessing the impact of policy interventions."
ECON323,Public Finance,economics,4,
ECON326,Economics and Public Policy: An Introduction,economics|environmental studies|political science|sociology,4,"Given the increasing wealth inequalities, should governments look at Universal Basic Incomes for certain sections of the society? Should AI replace low-cost jobs? Should borders be open or secured? Given rising fuel costs, should governments invest more in alternative fuels or increase subsidies for public transportation? Should government departments and enterprises (railways, airlines, telecom, petroleum) be privatized? These are examples of public policy questions that are inextricably linked to questions in economics. The goal of this introductory course is to prepare students to look at larger public policy questions of this kind and others through the lens of economics, stakeholders, resources use and resource constraints.
  This course hopes to cultivate in students an understanding of the underlying issues that influence policy. With political economy becoming the crucial issue of this century, there is a persistent need to develop a deep and specific understanding of the behavior of the markets and the actions of government and the purposes that fashion such arrangements. As the discourse between the economy, society and government becomes clear, so does the use of public policy. It then becomes a visible hand of the government to supplant the invisible hand of the market to achieve desirable societal goals. Working through monetary directions, governmental regulations, legislations, taxation and redistributed transfers, public policy aims to create a level playing field in societies to create growth and development of priority and emerging sectors. In this class, we will develop an in-depth understanding of what public policy is and why we sometimes justify government involvement in solving economic and social problems.
  This course aims to provide students with the basic tools to develop an understanding of practical and theoretical issues of the public policy process. Students will get familiar with the nature of public policy and its process, read and discuss theoretical materials explaining the public policy process and describe and analyze practical policy issues policy making - from agenda setting, policy design, policy formulation and adoption, implementation and evaluation. They will also discuss scenarios to simulate efficient and equitable outcomes and also understand the reasons behind policies failing. It will rope in economics concepts of moral hazard, free rider problems, virtue signaling among others."
ECON327,Game Theory,computer science|economics,4,"Game theory studies interactive decision-making and our objective is to understand the impact of interactions of multiple players and the resulting dynamics in a market environment. The introductory course in game theory will familiarize students with strategic behaviour and its applications in business decision making and several fields such as industrial organization, corporate finance, environmental economics, trade and political science. The course will cover several solution concepts starting with Nash Equilibrium, which will be modified under imperfect and incomplete/complete information scenarios. The concepts will be applied to case studies in bargaining, negotiation, pricing and market entry decisions."
ECON328,Health Economics,economics,4,"This course addresses issues related to health care, health policy, using tools from empirical and theoretical economics. We will use the tools of microeconomic theory to study topics such as micro foundations of health (demand for health care), socioeconomic and gender disparities in population health outcomes, health insurance design (moral hazard and adverse selection), determinants of health care spending, technological change in the health care sector, public health insurance policy, and the interaction between economic variables such as consumption and labor supply and health. The primary focus of this course centers on health-related outcomes and healthcare systems in developing countries, with a specific emphasis on India.
  Through a combination of lectures, problem sets, response notes to articles and podcasts, exploratory data analysis, and the presentation of research papers, students will learn about research methodology in health economics and applied microeconomics."
ECON329,Institutions & Economic Outcomes,economics|political science|sociology,4,"This course introduces the field of political economy to institutions and economic outcomes. It will begin by addressing the definitions of institutions and frameworks of economic outcomes. It will study the interrelations between the long-term effects of institutions on economic growth and other societal outcomes. The course will delve into the significant variations in economic and political development among nations with similar appearances.
  Drawing upon historical evidence, it will examine if institutional development, even unplanned, has delivered profound and far-reaching economic consequences.
  
  This course is designed to provide students with a deeper understanding of both the institutions and organizations of the world economies and their roles in shaping divergence in the distribution of earnings, wealth, and opportunities. The course will explore the merit behind the concept that the world can pursue economic development by establishing suitable economic institutions, emphasizing the significance of private property and competition. Additionally, it will examine whether better economic outcomes happen in open and pluralistic political systems.
  
  This course will also familiarize the students with the frontiers and tools of policy research topics and complement public policy and economic development courses. It will allow the students to understand and participate in academic discussions on emerging economic issues. It will provide insights into the political and public-policy debates that address the widening inequality and possible means of addressing it."
ECON330,International Trade,business studies|economics,4,"Since Adam Smith and David Ricardo, economists have sought to understand the causes, patterns, and consequences of trade among nations. This course introduces students to the key concepts, theories, institutions, and macroeconomic dynamics of international economics. It traces the historical evolution of the global trading system - from Mercantilism and the Gold Standard through Bretton Woods, GATT, and the WTO - and examines why countries trade, what they trade, who gains, and how governments shape trade through policy. Students will engage with the principal theories of trade (Absolute and Comparative Advantage, Heckscher-Ohlin, economies of scale and imperfect competition) and evaluate trade policy instruments including tariffs, quotas, subsidies, anti-dumping measures, and non-tariff barriers.
The course also covers the monetary dimensions of international economics: exchange rate regimes (fixed, floating, managed, pegged, spot, forward, and trade-weighted), balance of payments accounting, capital account convertibility, and global capital flows, analyzed through open-economy frameworks including the IS-LM-BOP model. Historical episodes - the Smoot-Hawley Tariff, the oil shocks of the 1970s, the rise of the US dollar as reserve currency - provide context for contemporary debates around the US-China trade conflict, Trump-era tariffs, supply chain disruptions, economic nationalism, industrial policy, digital and services trade, climate-related trade measures, and the geopolitics of regional agreements and groupings such as the QUAD. The course equips students with the analytical tools to navigate the rapidly changing landscape of global economic relations."
