code,title,subjects,credits,description
ARTS243,The Tactile and the Material,arts,4,"In an increasingly digital and online world we are losing touch with the physical, tactile world around us and the act of creating with our own two hands. Existing creative pursuits are turning digital and the opportunity to engage in tactile craft practices, creating using physical tools and materials, is increasingly rare. 

 This course introduces students to techniques of crafting and expressing creatively using a variety of tactile materials, and gives them the opportunity to learn a hands-on skill.
 All students will have introductory sessions of basic drawing, colour theory, colour mixing, printing, paper manipulation, clay work, yarn, fibre, simple looms, fabric, sewing, dyeing, and using found materials.

 They will then each pick one of these mediums to explore in depth and undertake disciplined practice of, while situating it in a historical and traditional context.
 
 There may be a field trip too."
ARTS315,Modern day Storytelling: An introduction to documentary filmmaking and its use in peoples and environmental movements,arts|environmental studies|history,4,"Documentary films are modern, technology driven storytelling. A medium that can turn anyone’s life and its stories into interesting visual narrations. This course follows the journey of the camera from being a tool that exudes aesthetics, creativity, and capturing of memories, to becoming the strongest instrument of resistance in the struggles of ordinary people. Through a series of interactive lectures the students will explore how the medium of documentary filmmaking can bring stories that are invisibilised, to light. 
At the core of documentary filmmaking lies the critical concept of integrity, the ability to visually capture stories of people and the world just as we see it. Hence, this course will allow students to not only immerse themselves in historicity, but also develop ethics in practice."
ARTS330,Creative Makers Studio,arts,4,"A practicum course that offers students with creative ideas and projects to be matched to industry mentors and work on their projects through to execution. Creative ideas that can be tested out in the real world, venture ideas that can be incubated and see initial proof-of-concept, research ideas that go from page to stage, productions that can be staged - all of these constitute the world of creative ideas within the ambit of the course. Specific weeks focus on different phases of creative ideation, and examples from different creative domains are used to illustrate and mentor students on project progress.
Students will work on a creative product from idea to execution. Design thinking practices, project management tools and ideation workshops will enable students to work on producing a market-ready product. Emphasis is placed on showcasing the product at relevant public forums and thus act as a bringing together of learnings from several disciplines."
ARTS333,The World(s) of Music (Practicum),arts,2,"The different worlds of music - genres, traditions and movements are surveyed with both conceptual overviews and practical guided listening sessions. The course culminates in students working on a music production project - which can be a recital, a composition or even a music podcast - depending on the nature of self-paced exploration that they choose to undertake. 
Through guided listening, small compositional projects, analysis and discovery – we discover the diverse world of music in this practicum. We explore traditions, contexts and usage, while studying similarities and dissimilarities across different musical genres and forms. The course will culminate in a music production project - where the class participates in an audience-facing composition."
ARTS336,Shooting The Godfather,arts|literature,4,"The course will begin with a reading of Mario Puzo&#39;s 1969 betseller The Godfather, followed by close viewings of the two films by Francis Ford Coppola based directly on the novel – The Godfather (1972) and The Godfather Part 2 (1974). This will become the platform from which we will explore the relationship between written fictions and cinematic adaptations. Viewing the films, we will analyse the choices made by Coppola and Puzo as scriptwriters. What parts of the story were included and excluded in the first film and why? Which bits were then used as a basis for the second film? Which were the completely new story elements? How did that work? As we do this we will also discuss basic western narrative
structures leading up to Hollywood&#39;s all-pervading &#39;three-act&#39; structure. In the latter part of the trimester we will look at the many different &#39;avatars&#39; and spinoffs the basic Godfather narrative has taken on since the early 70s, both in the west and here in India.
We will view and discuss segments from commercial Bombay cinema&#39;s idea of &#39;The Don&#39; to the plethora of gangster films from the late 1980s onwards, such as Nayakan, Satya, The Gangs of Wasseypur etc. Towards the end of the course we will become familiar with some
of the critiques of and alternatives to the three-act structure in cinema and in written fiction. The course will be based on intensive participative discussions that will center around how written narrative feeds into cinema and also how cinema and cinematic elements now feed
into creative writing of all kinds.
Course Objectives/Learning Outcomes: To understand better the interaction between written fiction and its screen adaptations. How to start thinking cinematically. Students will also gain a basic understanding of scripting, shot-breakdown, dialogue, art direction, acting, camerawork, sound, music, editing and how these contribute to the finished film. Through a process of comparison and analysis the student will better understand how a particular ""base-narrative""; can become the fertile ground from which vastly different versions of itself are
generated."
ARTS338,Jaalis: Cutting through from the Past to the Present,arts,4,"The cut work windows, or “jaalis”, as an aesthetic as well as a practical architectural feature, has been used in multiple cultures through history, typically in hot and arid places. This was most famously used, and most well-crafted (in stone), during the Mughal era. Jaalis have been made in wood, stone, ceramics, and even, (rarely), in metal. As this is a ceramics course, we will touch upon all of them and their histories, but concentrate mostly on the designing and making of terracotta clay jaalis.

In this course you will study the history of jaalis and then go through the process of sketching patterns, drawing inspiration from what we see around the campus, to develop and execute your own modular jaali design. You will learn to convert your designs from 2D to 3D and make a sample jaali window section, and fire it. You will learn the processes that the material requires and learn about utility specific design and execution, giving you an appreciation for craft and craftsmanship."
ARTS340,Documentary Film Documentary Film-Making in the Times of Crisis,arts,4,"This course provides a comprehensive understanding of the critical role that independent documentary filmmakers play in portraying and questioning India's complex socio-political landscape and offers practitioner’s insights and insider information on the realities on the ground about independent documentary film making. From decoding ideologies, knowing the nuances of identifying, approaching and filming sensitive subjects and navigating dangerous terrains while on the field to shoot, such as riots and andolans, the lens of the filmmaker becomes the unsettling truth teller of immutable visuals, facts and footage. How to negotiate between critical aesthetics and practical questions of safety, security, permissions and ethical concerns, will be taught in this course. Students will explore the breadth of documentary film maker’s daring journeys and documentary films/ raw footages and archives as the crucible of the times we live in, be it the Emergency, Delhi Riots or CAA protests. The crux of the course is how much truth can one tell in a climate of censorship and how?"
BIOS121,Bio-X: The Interconnectedness of Life,biology,2,"Welcome to an exhilarating journey through modern biology—a discipline that sits at the intersection of every major field of human inquiry. This course will take you on a dynamic exploration of life's interconnectedness and the innovative ways we study it. Beginning with life's origins and evolutionary foundations, we'll traverse scales from molecules to ecosystems, discovering how biology interfaces with various fields ranging from physics and chemistry to psychology and data science. Each module showcases cutting-edge research and real-world applications, such as CRISPR gene editing, AI-powered drug design and pandemic preparedness. Focusing on interdisciplinary thinking, through this course you will see how physics has helped decode photosynthesis at quantum scales, how machine learning revolutionizes protein structure prediction, and how systems biology integrates vast datasets to understand complex diseases. A hands-on laboratory tour midway through the course brings these concepts to life, while modules on global change biology and epidemiology demonstrate biology's critical role in addressing humanity's most pressing challenges. The course culminates in collaborative presentations where you'll envision ""Biology X""—the next frontier of biological discovery that excites you most.
Whether you're considering biology as a major, exploring it as a complement to another discipline, or simply curious about how life works, this course reveals the extraordinary career possibilities at biology's rapidly expanding frontiers. From biotechnology startups to conservation initiatives, from computational biology to public health—the skills and perspectives you'll gain in biology are increasingly valuable across sectors."
BIOS201,Life at Different Scales,biology,4,"Based upon selected case studies, this course covers notions of scale from building blocks of life to biomes, organisational levels and integration of biological units, and the primacy of description. We start with Aristotelian classification and proceed through Early Modern natural philosophy and natural history to the discipline of biology itself in the present day. We consider the development of particular philosophies and forms of technology from the 17th to 19th centuries and corresponding development of elements of biology at different points in time, including such concepts as biogeography, ecology, evolution, cell biology, genetics, anatomy, and physiology, even as theological holds over the subject begin to waver."
BIOS205,Molecular and Cellular Biology,biology,4,"This course is an introduction to the principles that guide the multifarious processes in the cell at the molecular and cellular levels and is intended for a college level audience. The content is an answer to the question: What is the molecular basis of cellular structure and function? Concepts covered include the storage, transfer, and regulation of genetic information, the interactions between molecules, and their assembly and disassembly in cellular functions, the cytoskeleton and its role in cell and tissue shape, molecular traffic between the various cellular locations and across the membrane boundary, signaling within the cell and between cells, cellular metabolism, the cell-cycle, division, growth, development, differentiation and death, and the energy conversions that power all these processes. The course will focus more on principles than on encyclopedic detail, and will be linked to modules taught in earlier trimesters to enable comprehension."
